toussaint,ritter,,,,,
144640,4,1378,,,,
144896,3,1391,,,,
145152,3,1371,,,,
145408,3,1373,,,,
145664,4,1404,,,,
145920,3,1397,,,,
146176,3,1393,,,,
146432,3,1403,,,,
146688,3,1388,,,,
146944,4,1439,,,,
147200,4,1418,,,,
147456,3,1453,,,,
147712,3,1421,,,,
147968,4,1438,,,,
148224,3,1451,,,,
148480,4,1458,,,,
148736,4,1447,,,,
148992,4,1436,,,,
149248,3,1479,,,,
149504,4,1487,,,,
149760,3,1487,,,,
150016,5,1498,,,,
150272,4,1536,,,,
150528,4,1492,,,,
150784,3,1516,,,,
151040,4,1503,,,,
151296,3,1529,,,,
151552,3,1533,,,,
151808,4,1583,,,,
152064,5,1597,,,,
152320,4,1567,,,,
152576,4,1532,,,,
152832,4,1555,,,,
153088,3,1535,,,,
153344,3,1548,,,,
153600,4,1550,,,,
153856,4,1562,,,,
154112,3,1561,,,,
154368,3,1573,,,,
154624,3,1568,,,,
154880,3,1591,,,,
155136,3,1619,,,,
155392,3,1625,,,,
155648,4,1642,,,,
155904,4,1616,,,,
156160,4,1612,,,,
156416,4,1617,,,,
156672,4,1638,,,,
156928,4,1640,,,,
157184,3,1651,,,,
157440,3,1645,,,,
157696,3,1671,,,,
157952,4,1661,,,,
158208,4,1672,,,,
158464,4,1671,,,,
158720,4,1669,,,,
158976,4,1677,,,,
159232,4,1681,,,,
159488,4,1706,,,,
159744,4,1691,,,,
160000,6,1695,,,,
160256,4,1675,,,,
160512,4,1695,,,,
160768,4,1699,,,,
161024,4,1713,,,,
161280,4,1729,,,,
161536,4,1740,,,,
161792,5,1745,,,,
162048,4,1763,,,,
162304,3,1770,,,,
162560,5,1762,,,,
162816,4,1768,,,,
163072,4,1773,,,,
163328,4,1779,,,,
163584,4,1794,,,,
163840,4,1786,,,,
164096,4,1803,,,,
164352,4,1802,,,,
164608,4,1811,,,,
164864,4,1888,,,,
165120,4,1887,,,,
165376,4,1861,,,,
165632,4,1811,,,,
165888,4,1847,,,,
166144,4,1863,,,,
166400,4,1872,,,,
166656,4,1955,,,,
166912,5,1892,,,,
167168,4,1875,,,,
167424,4,1899,,,,
167680,3,1907,,,,
167936,4,1894,,,,
168192,4,1891,,,,
168448,4,1911,,,,
168704,4,1900,,,,
168960,4,1915,,,,
169216,4,1914,,,,
169472,4,1912,,,,
169728,4,1953,,,,
169984,4,1963,,,,
170240,3,1981,,,,
170496,7,1948,,,,
170752,4,1943,,,,
171008,4,1965,,,,
171264,3,1954,,,,
171520,4,1943,,,,
171776,4,1963,,,,
172032,4,1968,,,,
172288,4,1985,,,,
172544,4,1989,,,,
172800,4,2062,,,,
173056,4,1998,,,,
173312,4,2012,,,,
173568,5,2045,,,,
173824,4,2023,,,,
174080,4,2017,,,,
174336,5,2054,,,,
174592,4,2049,,,,
174848,4,2056,,,,
175104,4,2060,,,,
175360,4,2076,,,,
175616,5,2072,,,,
175872,5,2078,,,,
176128,4,2079,,,,
176384,5,2093,,,,
176640,4,2092,,,,
176896,4,2095,,,,
177152,4,2096,,,,
177408,6,2099,,,,
177664,4,2107,,,,
177920,4,2151,,,,
178176,5,2200,,,,
178432,4,2165,,,,
178688,4,2140,,,,
178944,4,2196,,,,
179200,4,2131,,,,
179456,4,2144,,,,
179712,4,2171,,,,
179968,4,2142,,,,
180224,4,2172,,,,
180480,4,2225,,,,
180736,6,2205,,,,
180992,4,2242,,,,
181248,4,2188,,,,
181504,4,2213,,,,
181760,4,2225,,,,
182016,4,2278,,,,
182272,4,2258,,,,
182528,5,2251,,,,
182784,4,2221,,,,
183040,5,2265,,,,
183296,5,2247,,,,
183552,5,2247,,,,
183808,4,2258,,,,
184064,4,2290,,,,
184320,5,2295,,,,
184576,5,2295,,,,
184832,4,2324,,,,
185088,4,2297,,,,
185344,4,2304,,,,
185600,4,2308,,,,
185856,4,2308,,,,
186112,4,2321,,,,
186368,5,2323,,,,
186624,4,2334,,,,
186880,5,2336,,,,
187136,5,2346,,,,
187392,5,2346,,,,
187648,5,2356,,,,
187904,4,2371,,,,
188160,4,2384,,,,
188416,5,2407,,,,
188672,4,2398,,,,
188928,5,2422,,,,
189184,4,2399,,,,
189440,5,2408,,,,
189696,4,2473,,,,
189952,5,2462,,,,
190208,4,2558,,,,
190464,5,2470,,,,
190720,4,2446,,,,
190976,5,2493,,,,
191232,5,2451,,,,
191488,4,2482,,,,
191744,4,2473,,,,
192000,5,2471,,,,
192256,4,2467,,,,
192512,4,2479,,,,
192768,4,2495,,,,
193024,5,2501,,,,
193280,4,2515,,,,
193536,5,2525,,,,
193792,4,2507,,,,
194048,4,2532,,,,
194304,5,2519,,,,
194560,5,2530,,,,
194816,4,2538,,,,
195072,5,2550,,,,
195328,4,2612,,,,
195584,5,2582,,,,
195840,5,2555,,,,
196096,5,2561,,,,
196352,4,2599,,,,
196608,6,2701,,,,
196864,6,2636,,,,
197120,4,2650,,,,
197376,5,2669,,,,
197632,5,2653,,,,
197888,5,2644,,,,
198144,4,2634,,,,
198400,4,2682,,,,
198656,5,2668,,,,
198912,4,2648,,,,
199168,4,2663,,,,
199424,5,2695,,,,
199680,5,2700,,,,
199936,4,2702,,,,
200192,5,2708,,,,
200448,4,2698,,,,
200704,4,2713,,,,
200960,5,2722,,,,
201216,5,2746,,,,
201472,5,2760,,,,
201728,5,2837,,,,
201984,5,2813,,,,
202240,5,2879,,,,
202496,7,2807,,,,
202752,5,2796,,,,
203008,5,2774,,,,
203264,4,2816,,,,
203520,5,2840,,,,
203776,5,2822,,,,
204032,5,2864,,,,
204288,5,2797,,,,
204544,5,2830,,,,
204800,5,2824,,,,
205056,5,2842,,,,
205312,5,2836,,,,
205568,4,2854,,,,
205824,5,2871,,,,
206080,5,2853,,,,
206336,5,2880,,,,
206592,5,2886,,,,
206848,5,2937,,,,
207104,5,2911,,,,
207360,6,2920,,,,
207616,5,2904,,,,
207872,5,2931,,,,
208128,5,2936,,,,
208384,5,2944,,,,
208640,5,3009,,,,
208896,5,2968,,,,
209152,5,2950,,,,
209408,5,2973,,,,
209664,5,3018,,,,
209920,5,3001,,,,
210176,5,2996,,,,
210432,6,3029,,,,
210688,5,3002,,,,
210944,5,3014,,,,
211200,5,3047,,,,
211456,6,3030,,,,
211712,5,3058,,,,
211968,5,3025,,,,
212224,5,3055,,,,
212480,6,3059,,,,
212736,5,3096,,,,
212992,5,3153,,,,
213248,5,3196,,,,
213504,5,3108,,,,
213760,5,3107,,,,
214016,5,3182,,,,
214272,6,3238,,,,
214528,6,3253,,,,
214784,5,3131,,,,
215040,5,3141,,,,
215296,5,3141,,,,
215552,5,3182,,,,
215808,5,3179,,,,
216064,5,3192,,,,
216320,5,3160,,,,
216576,5,3221,,,,
216832,6,3288,,,,
217088,5,3215,,,,
217344,6,3271,,,,
217600,6,3252,,,,
217856,6,3238,,,,
218112,5,3236,,,,
218368,5,3293,,,,
218624,6,3327,,,,
218880,5,3273,,,,
219136,5,3262,,,,
219392,5,3267,,,,
219648,6,3313,,,,
219904,6,3291,,,,
220160,6,3389,,,,
220416,5,3312,,,,
220672,8,3311,,,,
220928,5,3299,,,,
221184,5,3309,,,,
221440,6,3313,,,,
221696,5,3339,,,,
221952,6,3350,,,,
222208,6,3392,,,,
222464,5,3360,,,,
222720,5,3382,,,,
222976,5,3449,,,,
223232,5,3454,,,,
223488,5,3373,,,,
223744,6,3380,,,,
224000,5,3405,,,,
224256,5,3431,,,,
224512,6,3452,,,,
224768,6,3539,,,,
225024,5,3468,,,,
225280,6,3467,,,,
225536,5,3449,,,,
225792,6,3491,,,,
226048,6,3506,,,,
226304,5,3480,,,,
226560,5,3496,,,,
226816,6,3513,,,,
227072,6,3511,,,,
227328,6,3526,,,,
227584,6,3511,,,,
227840,5,3515,,,,
228096,5,3506,,,,
228352,5,3578,,,,
228608,5,3600,,,,
228864,6,3585,,,,
229120,5,3583,,,,
229376,5,3653,,,,
229632,6,3681,,,,
229888,7,3629,,,,
230144,6,3598,,,,
230400,6,3645,,,,
230656,6,3646,,,,
230912,6,3709,,,,
231168,6,3711,,,,
231424,6,3633,,,,
231680,6,3662,,,,
231936,6,3692,,,,
232192,6,3706,,,,
232448,6,3705,,,,
232704,6,3738,,,,
232960,6,3804,,,,
233216,5,3707,,,,
233472,5,3687,,,,
233728,5,3722,,,,
233984,6,3788,,,,
234240,6,3884,,,,
234496,7,3816,,,,
234752,6,3765,,,,
235008,5,3760,,,,
235264,7,3836,,,,
235520,6,3878,,,,
235776,6,3884,,,,
236032,6,3809,,,,
236288,5,3834,,,,
236544,5,3806,,,,
236800,6,3881,,,,
237056,6,3896,,,,
237312,8,4034,,,,
237568,6,3997,,,,
237824,6,3976,,,,
238080,7,3976,,,,
238336,7,3989,,,,
